model,ens,exp,postprocess,table,grid,varn,period,mean
GISS-E2-1-G,r1i1p1f2,ssp585,global_mean,Amon,gn,tas,2046-2065,2.99
HadGEM3-GC31-LL,r1i1p1f3,ssp585,global_mean,Amon,gn,tas,2046-2065,3.50
HadGEM3-GC31-MM,r1i1p1f3,ssp585,global_mean,Amon,gn,tas,2046-2065,3.43
IITM-ESM,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2046-2065,2.28
INM-CM4-8,r1i1p1f1,ssp585,global_mean,Amon,gr1,tas,2046-2065,2.41
INM-CM5-0,r1i1p1f1,ssp585,global_mean,Amon,gr1,tas,2046-2065,2.34
IPSL-CM6A-LR,r1i1p1f1,ssp585,global_mean,Amon,gr,tas,2046-2065,3.31
KACE-1-0-G,r1i1p1f1,ssp585,global_mean,Amon,gr,tas,2046-2065,3.63
KIOST-ESM,r1i1p1f1,ssp585,global_mean,Amon,gr1,tas,2046-2065,2.64
MCM-UA-1-0,r1i1p1f2,ssp585,global_mean,Amon,gn,tas,2046-2065,2.90
MIROC6,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2046-2065,2.10
MIROC-ES2L,r1i1p1f2,ssp585,global_mean,Amon,gn,tas,2046-2065,2.38
MPI-ESM1-2-HR,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2046-2065,2.26
MPI-ESM1-2-LR,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2046-2065,2.27
MRI-ESM2-0,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2046-2065,2.66
NESM3,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2046-2065,3.09
NorESM2-LM,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2046-2065,1.97
NorESM2-MM,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2046-2065,2.06
TaiESM1,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2046-2065,3.20
UKESM1-0-LL,r1i1p1f2,ssp585,global_mean,Amon,gn,tas,2046-2065,3.68
ACCESS-CM2,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2011-2020,1.31
ACCESS-ESM1-5,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2011-2020,1.23
AWI-CM-1-1-MR,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2011-2020,1.54
BCC-CSM2-MR,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2011-2020,1.14
CAMS-CSM1-0,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2011-2020,0.94
CESM2-WACCM,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2011-2020,1.50
CESM2,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2011-2020,1.38
CIESM,r1i1p1f1,ssp585,global_mean,Amon,gr,tas,2011-2020,1.68
CMCC-CM2-SR5,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,2011-2020,1.50
CNRM-CM6-1-HR,r1i1p1f2,ssp585,global_mean,Amon,gr,tas,2011-2020,1.58
CNRM-CM6-1,r1i1p1f2,ssp585,global_mean,Amon,gr,tas,2011-2020,1.24
