model,ens,exp,postprocess,table,varn,period,mean
EC-EARTH,r8i1p1,rcp26,global_mean,Amon,tas,2021-2030,1.60
FGOALS-g2,r1i1p1,rcp26,global_mean,Amon,tas,2021-2030,1.14
FIO-ESM,r1i1p1,rcp26,global_mean,Amon,tas,2021-2030,1.38
GISS-E2-H,r1i1p1,rcp26,global_mean,Amon,tas,2021-2030,1.53
GISS-E2-R,r1i1p1,rcp26,global_mean,Amon,tas,2021-2030,1.19
IPSL-CM5A-LR,r1i1p1,rcp26,global_mean,Amon,tas,2021-2030,1.99
IPSL-CM5A-MR,r1i1p1,rcp26,global_mean,Amon,tas,2021-2030,1.73
MIROC5,r1i1p1,rcp26,global_mean,Amon,tas,2021-2030,1.22
MPI-ESM-LR,r1i1p1,rcp26,global_mean,Amon,tas,2021-2030,1.64
MPI-ESM-MR,r1i1p1,rcp26,global_mean,Amon,tas,2021-2030,1.59
MRI-CGCM3,r1i1p1,rcp26,global_mean,Amon,tas,2021-2030,0.98
NorESM1-ME,r1i1p1,rcp26,global_mean,Amon,tas,2021-2030,1.27
NorESM1-M,r1i1p1,rcp26,global_mean,Amon,tas,2021-2030,1.25
bcc-csm1-1-m,r1i1p1,rcp26,global_mean,Amon,tas,2021-2030,1.90
bcc-csm1-1,r1i1p1,rcp26,global_mean,Amon,tas,2021-2030,1.69
BNU-ESM,r1i1p1,rcp26,global_mean,Amon,tas,2031-2040,2.26
CCSM4,r1i1p1,rcp26,global_mean,Amon,tas,2031-2040,1.86
CESM1-CAM5,r1i1p1,rcp26,global_mean,Amon,tas,2031-2040,1.68
CNRM-CM5,r1i1p1,rcp26,global_mean,Amon,tas,2031-2040,1.48
CSIRO-Mk3-6-0,r1i1p1,rcp26,global_mean,Amon,tas,2031-2040,1.61
CanESM2,r1i1p1,rcp26,global_mean,Amon,tas,2031-2040,2.18
EC-EARTH,r8i1p1,rcp26,global_mean,Amon,tas,2031-2040,1.73
FGOALS-g2,r1i1p1,rcp26,global_mean,Amon,tas,2031-2040,1.26
FIO-ESM,r1i1p1,rcp26,global_mean,Amon,tas,2031-2040,1.42
GISS-E2-H,r1i1p1,rcp26,global_mean,Amon,tas,2031-2040,1.60
GISS-E2-R,r1i1p1,rcp26,global_mean,Amon,tas,2031-2040,1.25
IPSL-CM5A-LR,r1i1p1,rcp26,global_mean,Amon,tas,2031-2040,2.12
IPSL-CM5A-MR,r1i1p1,rcp26,global_mean,Amon,tas,2031-2040,1.94
MIROC5,r1i1p1,rcp26,global_mean,Amon,tas,2031-2040,1.37
MPI-ESM-LR,r1i1p1,rcp26,global_mean,Amon,tas,2031-2040,1.77
MPI-ESM-MR,r1i1p1,rcp26,global_mean,Amon,tas,2031-2040,1.70
MRI-CGCM3,r1i1p1,rcp26,global_mean,Amon,tas,2031-2040,1.11
NorESM1-ME,r1i1p1,rcp26,global_mean,Amon,tas,2031-2040,1.43
NorESM1-M,r1i1p1,rcp26,global_mean,Amon,tas,2031-2040,1.35
bcc-csm1-1-m,r1i1p1,rcp26,global_mean,Amon,tas,2031-2040,1.98
bcc-csm1-1,r1i1p1,rcp26,global_mean,Amon,tas,2031-2040,1.76
BNU-ESM,r1i1p1,rcp26,global_mean,Amon,tas,2041-2050,2.23
CCSM4,r1i1p1,rcp26,global_mean,Amon,tas,2041-2050,1.88
CESM1-CAM5,r1i1p1,rcp26,global_mean,Amon,tas,2041-2050,1.85
CNRM-CM5,r1i1p1,rcp26,global_mean,Amon,tas,2041-2050,1.60
CSIRO-Mk3-6-0,r1i1p1,rcp26,global_mean,Amon,tas,2041-2050,1.70
CanESM2,r1i1p1,rcp26,global_mean,Amon,tas,2041-2050,2.30
EC-EARTH,r8i1p1,rcp26,global_mean,Amon,tas,2041-2050,1.81
FGOALS-g2,r1i1p1,rcp26,global_mean,Amon,tas,2041-2050,1.31
FIO-ESM,r1i1p1,rcp26,global_mean,Amon,tas,2041-2050,1.35
GISS-E2-H,r1i1p1,rcp26,global_mean,Amon,tas,2041-2050,1.66
GISS-E2-R,r1i1p1,rcp26,global_mean,Amon,tas,2041-2050,1.26
IPSL-CM5A-LR,r1i1p1,rcp26,global_mean,Amon,tas,2041-2050,2.20
IPSL-CM5A-MR,r1i1p1,rcp26,global_mean,Amon,tas,2041-2050,2.03
MIROC5,r1i1p1,rcp26,global_mean,Amon,tas,2041-2050,1.51
MPI-ESM-LR,r1i1p1,rcp26,global_mean,Amon,tas,2041-2050,1.76
MPI-ESM-MR,r1i1p1,rcp26,global_mean,Amon,tas,2041-2050,1.73
MRI-CGCM3,r1i1p1,rcp26,global_mean,Amon,tas,2041-2050,1.19
NorESM1-ME,r1i1p1,rcp26,global_mean,Amon,tas,2041-2050,1.47
NorESM1-M,r1i1p1,rcp26,global_mean,Amon,tas,2041-2050,1.41
bcc-csm1-1-m,r1i1p1,rcp26,global_mean,Amon,tas,2041-2050,2.03
bcc-csm1-1,r1i1p1,rcp26,global_mean,Amon,tas,2041-2050,1.76
BNU-ESM,r1i1p1,rcp26,global_mean,Amon,tas,2051-2060,2.24
CCSM4,r1i1p1,rcp26,global_mean,Amon,tas,2051-2060,1.85
CESM1-CAM5,r1i1p1,rcp26,global_mean,Amon,tas,2051-2060,1.96
